Ê±¼ä´Á	wf_diff	wf_rms	Zernike_1	Zernike_2	Zernike_3	Zernike_4	Zernike_5	Zernike_6	Zernike_7	Zernike_8	Zernike_9	Zernike_10	Zernike_11	Zernike_12	Zernike_13	Zernike_14	Zernike_15
2025-06-06-10£º23£º07.86	95.883	19.512	-49.560	28.161	21.941	-1.317	10.223	-13.412	-4.981	7.777	0.368	0.587	0.026	-0.170	1.504	-1.769	0.622
2025-06-06-10£º23£º07.98	191.112	36.960	-61.035	44.329	16.679	-0.671	6.369	-8.856	-3.924	5.684	0.328	0.655	0.169	-0.156	1.243	-1.360	0.544
2025-06-06-10£º23£º08.08	170.837	30.702	-61.229	36.289	24.454	-0.658	6.907	-9.434	-2.718	5.472	0.420	0.850	0.097	-0.016	1.067	-1.007	-0.492
2025-06-06-10£º23£º08.17	159.075	29.200	-66.241	44.083	23.891	-1.193	7.412	-10.104	-4.184	6.094	0.572	-0.333	-0.422	0.048	1.237	-1.426	0.566
2025-06-06-10£º23£º08.41	137.991	25.798	-72.384	47.435	26.578	-0.912	10.503	-13.607	-5.273	7.855	0.605	-0.539	-0.547	0.027	1.432	-1.825	0.652
2025-06-06-10£º23£º08.48	176.578	32.646	-63.608	41.535	23.013	-0.756	7.237	-9.981	-4.443	6.441	0.266	0.168	-0.194	-0.147	1.242	-1.321	0.548
2025-06-06-10£º23£º08.58	175.514	32.749	-69.064	43.285	25.728	-0.078	9.469	-11.892	-4.305	6.901	0.879	-0.887	-0.184	0.080	1.213	-1.329	0.184
2025-06-06-10£º23£º08.75	173.263	31.575	-63.498	40.564	22.666	-0.300	7.570	-9.795	-3.731	6.075	0.437	-0.106	-0.015	-0.069	1.225	-1.312	0.290
2025-06-06-10£º23£º08.93	154.133	27.425	-56.187	38.301	18.833	0.337	10.184	-14.269	-3.726	6.414	0.511	0.011	0.106	-0.013	0.870	-0.851	-0.521
2025-06-06-10£º23£º09.00	10.624	2.415	-0.982	-1.221	1.649	0.034	0.564	-0.032	-0.107	0.141	0.028	-0.116	0.053	0.014	-0.049	0.075	-0.050
2025-06-06-10£º23£º09.21	10.471	2.423	-1.020	-1.180	1.624	0.067	0.574	-0.013	-0.124	0.116	0.020	-0.076	0.027	0.031	-0.037	0.063	-0.072
2025-06-06-10£º23£º09.33	12.703	2.511	-1.331	-1.104	1.809	0.050	0.590	-0.011	-0.105	0.142	0.036	-0.108	0.043	0.018	-0.056	0.072	-0.046
2025-06-06-10£º23£º09.52	12.555	2.460	-1.295	-1.112	1.771	0.058	0.599	-0.011	-0.105	0.148	0.033	-0.114	0.041	0.016	-0.055	0.072	-0.044
2025-06-06-10£º23£º09.73	11.710	2.452	-1.285	-1.098	1.783	0.055	0.575	-0.014	-0.127	0.164	0.025	-0.107	0.051	0.011	-0.069	0.094	-0.059
2025-06-06-10£º23£º09.92	10.329	2.465	-1.237	-1.128	1.715	0.070	0.597	-0.040	-0.094	0.140	0.036	-0.110	0.049	0.009	-0.054	0.075	-0.028
2025-06-06-10£º23£º09.97	10.816	2.481	-1.330	-1.080	1.802	0.070	0.599	-0.010	-0.102	0.098	0.019	-0.082	0.029	0.023	-0.038	0.057	-0.056
2025-06-06-10£º23£º10.13	11.670	2.447	-1.258	-1.097	1.759	0.052	0.593	-0.037	-0.093	0.130	0.029	-0.120	0.054	0.009	-0.051	0.074	-0.044
2025-06-06-10£º23£º10.28	9.322	2.234	-1.232	-1.098	1.751	0.035	0.588	-0.025	-0.101	0.132	0.027	-0.112	0.050	0.011	-0.052	0.076	-0.049
2025-06-06-10£º23£º10.35	13.412	2.474	-1.265	-1.079	1.758	0.038	0.588	-0.024	-0.114	0.130	0.039	-0.113	0.050	0.007	-0.048	0.076	-0.041
2025-06-06-10£º23£º10.56	10.412	2.462	-1.233	-1.086	1.716	0.065	0.596	-0.004	-0.130	0.115	0.022	-0.070	0.025	0.026	-0.042	0.065	-0.064
2025-06-06-10£º23£º10.71	12.854	2.503	-1.317	-1.092	1.805	0.034	0.595	-0.030	-0.097	0.136	0.033	-0.111	0.058	0.013	-0.057	0.071	-0.041
2025-06-06-10£º23£º10.87	9.377	2.252	-1.166	-1.177	1.554	0.180	0.620	-0.075	-0.026	0.056	0.029	-0.011	-0.008	0.014	-0.012	0.021	0.001
2025-06-06-10£º23£º11.00	11.758	2.448	-1.255	-1.101	1.767	0.056	0.603	-0.034	-0.106	0.118	0.035	-0.099	0.036	0.013	-0.045	0.063	-0.051
2025-06-06-10£º23£º11.13	12.855	2.494	-1.338	-1.077	1.821	0.047	0.582	-0.020	-0.108	0.129	0.034	-0.099	0.047	0.006	-0.054	0.072	-0.043
2025-06-06-10£º23£º11.26	12.886	2.525	-1.311	-1.097	1.830	0.032	0.567	-0.015	-0.115	0.133	0.033	-0.092	0.038	0.013	-0.052	0.075	-0.039
2025-06-06-10£º23£º11.39	10.463	2.486	-1.252	-1.114	1.770	0.033	0.593	-0.003	-0.120	0.134	0.026	-0.083	0.027	0.029	-0.047	0.062	-0.057
2025-06-06-10£º23£º11.46	13.511	2.555	-1.251	-1.126	1.825	0.022	0.588	-0.045	-0.103	0.137	0.029	-0.121	0.052	0.011	-0.052	0.076	-0.043
2025-06-06-10£º23£º11.61	13.163	2.525	-1.345	-1.083	1.854	0.036	0.582	-0.041	-0.102	0.144	0.028	-0.116	0.051	0.015	-0.053	0.073	-0.044
2025-06-06-10£º23£º11.63	13.298	2.517	-1.181	-1.152	1.801	0.033	0.578	-0.058	-0.099	0.138	0.025	-0.125	0.055	0.009	-0.055	0.080	-0.049
2025-06-06-10£º23£º11.83	13.199	2.489	-1.224	-1.123	1.807	0.033	0.567	-0.051	-0.098	0.139	0.024	-0.116	0.049	0.009	-0.053	0.079	-0.042
2025-06-06-10£º23£º11.93	11.826	2.330	-1.196	-1.123	1.764	0.036	0.559	-0.052	-0.103	0.138	0.036	-0.099	0.046	0.014	-0.053	0.079	-0.046
2025-06-06-10£º23£º12.00	11.193	2.399	-1.193	-1.097	1.714	0.028	0.572	-0.038	-0.098	0.130	0.044	-0.104	0.054	0.018	-0.049	0.072	-0.055
2025-06-06-10£º23£º12.09	12.853	2.438	-1.359	-1.101	1.860	0.040	0.585	-0.038	-0.093	0.135	0.050	-0.107	0.053	0.011	-0.057	0.071	-0.049
2025-06-06-10£º23£º12.18	12.740	2.487	-1.260	-1.122	1.778	0.036	0.581	-0.032	-0.095	0.139	0.045	-0.104	0.050	0.014	-0.056	0.073	-0.046
2025-06-06-10£º23£º12.37	10.895	2.518	-1.423	-1.065	1.859	0.057	0.586	-0.018	-0.109	0.136	0.046	-0.090	0.038	0.008	-0.055	0.074	-0.044
2025-06-06-10£º23£º12.49	12.225	2.542	-1.386	-1.063	1.888	0.046	0.584	-0.062	-0.096	0.137	0.039	-0.109	0.041	0.011	-0.055	0.069	-0.043
2025-06-06-10£º23£º12.63	12.220	2.435	-1.274	-1.075	1.782	0.043	0.575	-0.043	-0.106	0.142	0.028	-0.106	0.044	0.013	-0.056	0.076	-0.044
2025-06-06-10£º23£º12.68	13.356	2.564	-1.420	-1.066	1.913	0.047	0.580	-0.052	-0.100	0.136	0.027	-0.103	0.044	0.015	-0.055	0.076	-0.040
2025-06-06-10£º23£º12.76	13.125	2.516	-1.380	-1.041	1.856	0.038	0.571	-0.033	-0.100	0.131	0.032	-0.110	0.054	0.011	-0.056	0.073	-0.045
2025-06-06-10£º23£º12.87	13.146	2.537	-1.386	-1.050	1.872	0.037	0.555	-0.009	-0.130	0.155	0.028	-0.100	0.050	0.009	-0.063	0.089	-0.058
2025-06-06-10£º23£º12.97	10.493	2.512	-1.334	-1.086	1.770	0.116	0.580	-0.036	-0.113	0.122	0.027	-0.055	0.022	0.011	-0.048	0.070	-0.046
2025-06-06-10£º23£º13.13	11.962	2.402	-1.212	-1.091	1.737	0.041	0.570	-0.044	-0.102	0.131	0.020	-0.108	0.058	0.019	-0.043	0.071	-0.047
2025-06-06-10£º23£º13.25	12.687	2.471	-1.349	-1.057	1.819	0.049	0.573	-0.032	-0.120	0.163	0.027	-0.105	0.053	0.013	-0.068	0.089	-0.056
2025-06-06-10£º23£º13.36	12.453	2.437	-1.250	-1.086	1.766	0.044	0.573	-0.051	-0.101	0.130	0.022	-0.100	0.054	0.015	-0.048	0.075	-0.043
2025-06-06-10£º23£º13.50	13.126	2.563	-1.429	-1.068	1.895	0.036	0.583	-0.027	-0.098	0.133	0.031	-0.092	0.047	0.014	-0.055	0.072	-0.040
2025-06-06-10£º23£º13.57	12.909	2.482	-1.358	-1.058	1.822	0.043	0.579	-0.019	-0.099	0.136	0.036	-0.110	0.041	0.014	-0.050	0.067	-0.044
2025-06-06-10£º23£º13.74	12.714	2.550	-1.368	-1.116	1.836	0.066	0.591	-0.037	-0.089	0.136	0.031	-0.094	0.039	0.012	-0.055	0.071	-0.025
2025-06-06-10£º23£º13.83	10.906	2.474	-1.159	-1.117	1.775	0.014	0.567	-0.045	-0.113	0.128	0.026	-0.118	0.050	0.012	-0.046	0.073	-0.046
2025-06-06-10£º23£º14.00	11.314	2.228	-1.148	-1.111	1.757	0.013	0.548	-0.064	-0.097	0.127	0.031	-0.116	0.056	0.014	-0.043	0.077	-0.045
2025-06-06-10£º23£º14.11	12.540	2.531	-1.324	-1.091	1.829	0.029	0.569	-0.029	-0.099	0.138	0.046	-0.102	0.044	0.020	-0.050	0.066	-0.046
2025-06-06-10£º23£º14.38	12.925	2.547	-1.523	-1.007	1.885	0.041	0.589	0.017	-0.131	0.168	0.043	-0.090	0.037	0.013	-0.071	0.083	-0.055
2025-06-06-10£º23£º14.55	13.413	2.678	-1.487	-1.078	1.968	0.053	0.599	-0.027	-0.119	0.132	0.037	-0.102	0.038	0.008	-0.054	0.075	-0.042
2025-06-06-10£º23£º14.72	12.942	2.464	-1.216	-1.119	1.763	0.035	0.580	-0.055	-0.100	0.143	0.038	-0.119	0.052	0.013	-0.056	0.080	-0.039
2025-06-06-10£º23£º14.75	11.342	2.356	-1.332	-1.110	1.820	0.059	0.590	-0.075	-0.077	0.129	0.033	-0.104	0.058	0.014	-0.050	0.076	-0.032
